Dam Name,NID ID,Owner Names,Primary Owner Type,Primary Purpose,Purposes,Latitude,Longitude,State,County,City,River or Stream Name,Congressional District,Federal Agency Owners,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Primary Dam Type,NID Height (Ft),Dam Length (Ft),Year Completed,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Drainage Area (Sq Miles),Number of Locks,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Data Last Updated,Website URL
Thousand Oaks Dam,MO40112,FORREST PARK DEV COMP.,Private,,,39.20871833,-94.75083186,Missouri,Platte,,,"Missouri, Congressional District 06",,,,,Earth,70,700,2002,190,190,0.06,,03/02/2023,,High,Satisfactory,11/14/2016,Yes,08/03/2014,05/03/2023,https://damsafety.org/missouri
Deal Dam,TN04319,"Deal, Gerald",Private,Recreation,Recreation,35.991111,-87.324167,Tennessee,Dickson,,,"Tennessee, Congressional District 07",,,,,Earth,12,230,,34,34,,,08/12/2019,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Hayes Lake Dam,MO20800,,Private,,,38.67551862,-93.18998277,Missouri,Pettis,,,"Missouri, Congressional District 04",,,,,,20,,,16,16,,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Udeys,WI00114,City of Columbus,Local Government,Recreation,Recreation,43.3372545,-89.0104734,Wisconsin,Columbia,Columbus,Crawfish,"Wisconsin, Congressional District 06",,,,,Gravity,14,350,1917,185,185,164,,09/28/2021,2,High,Satisfactory,01/14/2022,Yes,01/01/2017,09/16/2022,https://damsafety.org/wisconsin
Fertch Lake Dam,MO11354,,Private,,,39.54054306,-91.55159137,Missouri,Ralls,,,"Missouri, Congressional District 06",,,,,,20,,,43,43,110,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Arcadia Dam,TN15773,Belz Investco Group,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",35.255833,-89.728889,Tennessee,Shelby,,,"Tennessee, Congressional District 08",,,,,Earth,20,400,1965,106,106,0.06,,06/23/2023,1,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Castle Ranch Lake Dam,MO50002,,Private,,,38.2146824,-90.564745,Missouri,Jefferson,,Murril Branch,"Missouri, Congressional District 03",,,,,Earth,20,375,1950,49,49,380,0,,0,High,Not Rated,,No,,04/02/2025,https://damsafety.org/missouri
Helton Lake Dam,MO31688,,Private,,,38.145,-92.47916667,Missouri,Miller,,,"Missouri, Congressional District 03",,,,,,30,,,60,60,240,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Polk Dam,TN16528,"King, Mary Francis",Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",36.411389,-86.615556,Tennessee,Sumner,,,"Tennessee, Congressional District 06",,,,,Earth,25,250,1926,47,47,0.13,,02/26/2018,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Mansfield Dam,AR00939,City of Mansfield,Local Government,Water Supply,Water Supply;Recreation,35.0572018,-94.2359367,Arkansas,Sebastian,Mansfield,Coop Creek,"Arkansas, Congressional District 04",,,,,Earth,19,144,1935,410,410,3.6,,,,High,Not Rated,,Not Required,,01/07/2026,https://damsafety.org/arkansas
Bethesda Lake Dam,AR01181,John Watkins,Private,Recreation,Recreation,34.5322006,-94.2380515,Arkansas,Polk,Dallas,Dallas Creek,"Arkansas, Congressional District 04",,,,,Earth,33,250,1922,54,54,0.2,,,,High,Not Rated,,Not Required,,01/07/2026,https://damsafety.org/arkansas
Bryant Dam,TN02902,"Bryant, Jerry",Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Flood Risk Reduction",35.959444,-83.238333,Tennessee,Cocke,,,"Tennessee, Congressional District 01",,,,,Earth,21,315,1987,54,54,0.38,,01/27/2021,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Lawson Dam,TN01112,"Lawson, John C.",Private,Recreation,Recreation,35.155556,-84.811667,Tennessee,Bradley,,,"Tennessee, Congressional District 03",,,,,Earth,18,18,,52,52,0.21,,04/25/2020,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Drew Dam,TN09914,"Pettus, Jeffrey",Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",35.101389,-87.3575,Tennessee,Lawrence,,Dry Branch,"Tennessee, Congressional District 04",,,,,Earth,33,250,1991,116,,,,05/06/2020,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Maihl Dam,TN04317,"Maihl, Peggy Sue",Private,Recreation,Recreation,35.981111,-87.232222,Tennessee,Dickson,,,"Tennessee, Congressional District 07",,,,,Earth,25,,,40,40,0.39,,07/22/2019,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Brillion Hacker Road,WI01217,City Of Brillion,Local Government,Flood Risk Reduction,Flood Risk Reduction,44.1895626,-88.0685906,Wisconsin,Calumet,Brillion,,"Wisconsin, Congressional District 08",,,,,Earth,19,,1997,300,300,,,06/09/2020,2,High,Fair,12/16/2020,Yes,01/01/2016,09/16/2022,https://damsafety.org/wisconsin
Ramsey Dam,TN06114,KJT Partnership,Private,,,35.325556,-85.743056,Tennessee,Grundy,Payne Lake,Corn Branch,"Tennessee, Congressional District 04",,,,,Earth,22,560,1960,821,821,1.31,,05/20/2021,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Ellison Lake Dam,TN10311,,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",35.308333,-86.519167,Tennessee,Lincoln,,,"Tennessee, Congressional District 04",,,,,Earth,20,180,,44,44,,,01/23/2024,5,High,,01/23/2024,Not Required,,06/09/2025,https://damsafety.org/tennessee
Kirkpatrick Lake Dam,MO31986,,Private,Recreation,Recreation,38.06830409,-90.70869335,Missouri,Washington,,,"Missouri, Congressional District 03",,,,,,20,,1991,11,11,,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Fayetteville,AR00289,City of Fayetteville,Local Government,Recreation,Recreation,36.136666667,-94.1383333333333,Arkansas,Washington,Johnson,Clear Creek,"Arkansas, Congressional District 03",,,,,Earth,49,1733,1949,6566,6566,9.1,,03/20/2026,1,High,Satisfactory,03/20/2026,Yes,07/20/2016,08/21/2026,https://damsafety.org/arkansas
Arrow Wood Lake Dam,IL50687,,Private,Recreation,Recreation,38.72929,-89.83445,Illinois,Madison,,,"Illinois, Congressional District 15",,,,,,15,500,2000,0,,,0,07/11/2025,1,High,Not Available,,No,,01/21/2026,https://damsafety.org/illinois
Mo No Name,MO31934,,Private,,,38.39373862,-90.77611081,Missouri,Franklin,Robertsville,Trib Calvey Creek,"Missouri, Congressional District 02",,,,,,30,,,112,112,350,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Chenault Reservoir Dam,AR01549,Benton Utilities,Local Government,Water Supply,Water Supply,34.55,-92.6166666666667,Arkansas,Saline,Benton,None,"Arkansas, Congressional District 02",,,,,Earth,38,10940,2001,2400,2400,,,06/13/2022,1,High,Fair,06/13/2022,Yes,09/26/2017,01/29/2025,https://damsafety.org/arkansas
Tailings Pond,AR01235,"Evraz Stratcor, Inc.",Private,Tailings,Tailings,34.467222222,-92.9397222222222,Arkansas,Garland,Hot Springs,Ouachita River-Tr,"Arkansas, Congressional District 04",,,,,Earth,90,4000,1980,590,590,0.4,,,,High,Not Rated,,Yes,,01/29/2025,https://damsafety.org/arkansas
Coldwater Ranch Dam,MO40118,,Private,Recreation,Recreation,37.1937668,-91.34132769,Missouri,Shannon,Eminence,Sutton Creek,"Missouri, Congressional District 08",,,,,,35,300,2002,35,35,128,0,03/29/2002,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Loggers Lake,MO30002,USDA FS,Federal,Recreation,Recreation,37.386414,-91.262915,Missouri,Shannon,Round Springs,Mill Creek,"Missouri, Congressional District 08",Forest Service,Forest Service,Forest Service,Forest Service,Earth,39,430,1942,425,425,3,,04/07/2020,1,High,Not Rated,,No,,05/17/2021,https://www.fs.usda.gov/eng/dams/
Lepich Lake Dam,MO40209,,Private,,,37.867771,-91.75886179,Missouri,Phelps,Roll,Beaver Creek Trib,"Missouri, Congressional District 08",,,,,,40,,2018,0,,,,08/29/2022,3,High,Not Rated,07/11/2019,No,,05/03/2023,https://damsafety.org/missouri
Pewaukee,WI00336,Village Of Pewaukee,Local Government,Recreation,Recreation,43.0842232,-88.2646316,Wisconsin,Waukesha,Pewaukee,Pewaukee,"Wisconsin, Congressional District 05",,,,,Gravity,14,800,1842,36900,36900,27.6,,09/28/2021,2,High,Satisfactory,06/28/2022,Yes,01/01/2010,09/16/2022,https://damsafety.org/wisconsin
Rest Lake,WI00211,Xcel Energy,Private,Recreation,Recreation,46.13853,-89.88539,Wisconsin,Vilas,Manitowish Waters,Manitowish,"Wisconsin, Congressional District 07",,,,,Gravity,25,320,1925,68000,68000,243,,06/28/2022,2,High,Fair,08/17/2021,Yes,10/01/2021,09/16/2022,https://damsafety.org/wisconsin
Cadet No. 3 Dam,MO31830,,Private,Tailings,Tailings,38.006586,-90.69385682,Missouri,Washington,Cadet,Shibboleth Branch,"Missouri, Congressional District 03",,,,,Earth,74,2000,1992,765,765,0.16,,10/13/2021,3,High,Satisfactory,12/21/2007,Yes,12/19/2017,05/03/2023,https://damsafety.org/missouri
Walcott Lake,AR00430,Arkansas Parks and Tourism,State,Recreation,Recreation,36.0489106,-90.6686709,Arkansas,Greene,Walcott,Cache River-Tr,"Arkansas, Congressional District 01",,,,,Earth,27,2040,1964,375,375,0.5,,06/13/2026,1,High,Fair,06/13/2026,Yes,09/18/1996,06/29/2026,https://damsafety.org/arkansas
Joe Machs Lake Dam,MO32028,,Private,,,38.56429304,-90.7137436,Missouri,St. Louis,,,"Missouri, Congressional District 02",,,,,Earth,56,460,1996,1290,1290,0.34,,04/05/2022,2,High,Satisfactory,12/21/2007,Yes,05/19/2014,05/03/2023,https://damsafety.org/missouri
Rome,WI00263,Town of Sullivan,Local Government,Recreation,Recreation,42.98183,-88.62795,Wisconsin,Jefferson,Rome,Bark,"Wisconsin, Congressional District 05",,,,,Gravity,11,600,1838,2940,2940,114,,10/20/2020,2,High,Satisfactory,04/20/2021,Yes,01/01/2014,09/16/2022,https://damsafety.org/wisconsin
Hensley Lake Dam,TN12316,"Howard, Barbara Hensley",Private,Other,Other,35.435833,-84.201944,Tennessee,Monroe,,,"Tennessee, Congressional District 03",,,,,Earth,40,,,128,128,,,12/29/2021,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Forest Lake Dam,MO32087,,Private,,,39.2355886,-94.7426613,Missouri,Platte,Parkville,Trb Brush Creek,"Missouri, Congressional District 06",,,,,Earth,34,300,,110,110,52,0,,0,High,Not Rated,,Not Required,,04/02/2025,https://damsafety.org/missouri
Lake Redstone,WI00707,Sauk County,Local Government,Recreation,Recreation,43.5866954,-90.0871209,Wisconsin,Sauk,Reedsburg,Big Creek,"Wisconsin, Congressional District 03",,,,,Gravity,50,600,1967,15200,15200,29.9,,07/19/2022,2,High,Fair,10/28/2020,Yes,12/19/2019,09/16/2022,https://damsafety.org/wisconsin
Rock Falls,WI00007,Town of Rock Creek,Local Government,,,44.71817,-91.69573,Wisconsin,Dunn,Rock Falls,Rock Creek ,"Wisconsin, Congressional District 03",,,,,Gravity,43,80,1864,80,80,32,,08/07/2008,2,High,Poor,05/28/2015,No,,09/16/2022,https://damsafety.org/wisconsin
Vickers Dam,TN01702,"Vickers King, Janet",Private,,,35.996667,-88.466111,Tennessee,Carroll,Huntingdon,Rock Creek,"Tennessee, Congressional District 08",,,,,Earth,21,580,1948,73,73,0.12,,03/19/2021,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Dexter Noname,MO32079,,Private,Recreation,Recreation,36.79642442,-89.97022163,Missouri,Stoddard,Dexter,Tr-Drainage Canal,"Missouri, Congressional District 08",,,,,,30,285,2003,31,31,86.8,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Tomah Lake,WI00161,City Of Tomah,Local Government,,,43.9870172,-90.5158144,Wisconsin,Monroe,Tomah,Lemonweir,"Wisconsin, Congressional District 03",,,,,Earth,16,1657,1936,2250,2250,30.1,,07/30/2021,2,High,Satisfactory,10/23/2019,Yes,01/01/2015,09/16/2022,https://damsafety.org/wisconsin
Heritage Lake Dam,MS03039,,Private,Recreation,Recreation,31.81880723,-89.18141342,Mississippi,Jasper," Moss, Ms",,"Mississippi, Congressional District 03",,,,,Earth,30,,1980,386,386,0.1,,05/22/2023,5,High,Fair,03/17/2022,Yes,04/19/2022,05/31/2023,https://damsafety.org/mississippi
Kennedy Pond Dam,AR00647,Darwin Kennedy,Private,Recreation,Recreation,33.6058163,-92.8918277,Arkansas,Ouachita,Camden,Wadleigh Branch-Tr,"Arkansas, Congressional District 04",,,,,Earth,23,325,1940,88,88,0.26,,,,High,Not Rated,,Not Required,,01/07/2026,https://damsafety.org/arkansas
Blomberg Farm Dam,MO12411,WILLIAM S. BLOMBERG,Private,,,39.85467625,-92.50623372,Missouri,Macon,,,"Missouri, Congressional District 06",,,,,Earth,43,628,1998,302,302,0.11,,05/12/2022,5,High,Satisfactory,12/19/2007,Yes,10/14/2014,05/03/2023,https://damsafety.org/missouri
Worldwide Missionary Dam,AR01513,Worldwide Missionary,Private,Recreation,Recreation,36.370833333,-91.3963888888889,Arkansas,Sharp,0,Big Barn Creek,"Arkansas, Congressional District 01",,,,,Earth,20,300,1978,80,,,,,,High,Not Rated,,Not Required,,01/29/2025,https://damsafety.org/arkansas
Spring Lake Dam,AR00256,Ozark Acres SID,Local Government,Recreation,Recreation,36.297904,-91.393226,Arkansas,Sharp,Williford,Humphrey Creek,"Arkansas, Congressional District 01",,,,,Earth,38,477,1960,200,200,0.5,,12/16/2025,1,High,Fair,12/16/2025,Yes,11/15/2024,02/10/2026,https://damsafety.org/arkansas
Brickbauer,WI00311,Masters Gallery Foods,Private,Recreation,Recreation,43.73462,-87.97518,Wisconsin,Sheboygan,New Paris,Mullet,"Wisconsin, Congressional District 06",,,,,Gravity,11,750,1865,70,70,72,,08/04/2020,2,High,Fair,05/13/2020,No,,09/16/2022,https://damsafety.org/wisconsin
Obax Farms Dam,MO60746,,Private,,,39.27264,-91.00103,Missouri,Pike,Hamberg,Ramsey Creek,"Missouri, Congressional District 06",,,,,,52,2400,,260,,0.15,,03/02/2022,3,High,Not Rated,07/11/2019,No,,05/03/2023,https://damsafety.org/missouri
Vagabond Lake Dam,AR00257,Ozark Acres SID,Local Government,Recreation,Recreation,36.2840848,-91.3713312,Arkansas,Sharp,Ravenden,Humphrey Creek,"Arkansas, Congressional District 01",,,,,Earth,59,850,1960,2100,2100,2.5,,12/16/2025,1,High,Fair,12/16/2025,Yes,11/15/2024,02/10/2026,https://damsafety.org/arkansas
Camp Clearfork Lake Dam,AR00732,USDA FS,Federal,Recreation,Recreation,34.508333333,-93.3916666666667,Arkansas,Garland,None,Walnut Creek,"Arkansas, Congressional District 04",,,,,Rockfill,22,195,1938,88,88,,,,,High,Not Rated,,Not Required,,01/29/2025,https://damsafety.org/arkansas
Namekagon,WI00623,Town Of Namakagon,Local Government,Recreation,Recreation,46.22364,-91.14779,Wisconsin,Bayfield,Cable,Namekagon,"Wisconsin, Congressional District 07",,,,,Gravity,9,120,1886,19700,19700,47.7,,09/22/2021,2,High,Satisfactory,07/27/2018,Yes,01/01/2005,09/16/2022,https://damsafety.org/wisconsin
Reservoir Dam,MO10001,UNIV.MO/COLUMBIA,State,Flood Risk Reduction,Flood Risk Reduction;Irrigation,39.01840015,-92.75484206,Missouri,Howard,Franklin,Cottonwood Creek,"Missouri, Congressional District 04",,,,,Earth,23,,1954,394,394,1403,0,06/01/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Auroraville,WI00340,Olsen Brothers,Private,Other,Other;Recreation,44.0539744,-88.9917539,Wisconsin,Waushara,Auroraville,Willow Creek,"Wisconsin, Congressional District 06",,,,,Gravity,13,350,1987,1320,1320,80,,09/26/2019,2,High,Fair,12/01/2020,Yes,01/01/1986,09/16/2022,https://damsafety.org/wisconsin
Lake Winnebago Dam Expansion,MO40164,,Private,,,38.8111612,-94.3506617,Missouri,Cass,City of Lake Winnebago,,"Missouri, Congressional District 04",,,,,Earth,63,0,,13700,13700,22.02,,03/02/2023,2,High,Satisfactory,03/05/2020,Yes,05/18/2020,04/02/2025,https://damsafety.org/missouri
Lake Maumelle Dam,AR00081,Central Arkansas Water,Local Government,Water Supply,Water Supply,34.8547766,-92.4872303,Arkansas,Pulaski,Little Rock,Maumelle Creek,"Arkansas, Congressional District 02",,,,,Earth,67,2550,1957,221000,220000,137.3,,07/21/2025,1,High,Satisfactory,07/21/2025,No,,07/07/2026,https://damsafety.org/arkansas
Ricks Dam,AR00724,Hot Springs Municipal Water System,Local Government,Water Supply,Water Supply,34.5666949,-93.0953262,Arkansas,Garland,Hot Springs,Bull Bayou,"Arkansas, Congressional District 04",,,,,Earth,87,310,1949,6720,6720,3.3,,05/14/2026,1,High,Fair,05/14/2026,Yes,12/16/2009,06/30/2026,https://damsafety.org/arkansas
Evans Lake,MO41012,LUCAS EVANS,Private,Recreation,Recreation,37.94239312,-93.00358972,Missouri,Camden,Macks Creek,Niangua,"Missouri, Congressional District 04",,,,,Earth,39,500,1988,0,,,,,3,High,Unsatisfactory,,No,,05/03/2023,https://damsafety.org/missouri
Horsehead Lake Dam,AR00441,Arkansas Game and Fish Commission,State,Recreation,Recreation,35.5586155,-93.6334456,Arkansas,Johnson,Hunt,Horsehead Creek,"Arkansas, Congressional District 04",,,,,Earth,67,350,1950,4913,4913,16.9,,08/14/2025,1,High,Poor,08/14/2025,Yes,04/01/2004,01/07/2026,https://damsafety.org/arkansas
City of Cape Girardeau Dam,MO40109,,Local Government,,,37.35830569,-89.57732318,Missouri,Cape Girardeau,,,"Missouri, Congressional District 08",,,,,Earth,58,900,2002,5108,5108,3.25,,06/01/2022,,High,Satisfactory,12/21/2007,Yes,11/20/2012,05/03/2023,https://damsafety.org/missouri
Lake Wilhelmina Dam,AR00905,Arkansas Game and Fish Commission,State,Recreation,Recreation,34.5996881,-94.3603723,Arkansas,Polk,Rocky,Powell Creek,"Arkansas, Congressional District 04",,,,,Earth,75,1240,1957,2940,2940,13.8,,08/12/2025,1,High,Poor,08/12/2025,No,,01/07/2026,https://damsafety.org/arkansas
Ola-Dale,AR00767,City of Ola,Local Government,Water Supply,Water Supply;Recreation,35.0314759,-93.233019,Arkansas,Yell,Ola,Keeland Creek,"Arkansas, Congressional District 04",,,,,Earth,36,400,1962,1500,1500,6.9,,06/24/2024,1,High,Poor,06/24/2024,Yes,07/01/1996,01/07/2026,https://damsafety.org/arkansas
Powell Reservoir,AR01705,Horace A Powell,Private,Irrigation,Irrigation;Fish and Wildlife Pond,35.124283,-90.981504,Arkansas,St. Francis,"Palestine, Arkansas",Second Creek,"Arkansas, Congressional District 01",,,,,Earth,7,11550,1983,650,,,,,,High,Not Rated,,Not Required,,01/29/2025,https://damsafety.org/arkansas
Nichols Lake Dam,AR00918,City of Nashville,Local Government,Water Supply,Water Supply,33.958888889,-93.8425,Arkansas,Howard,Nashville,Mine Creek,"Arkansas, Congressional District 04",,,,,Earth,20,3000,1928,605,605,9.1,,,,High,Satisfactory,,Yes,,01/29/2025,https://damsafety.org/arkansas
Argo Reservoir Dam,AR00709,C R Argo,Private,Irrigation,Irrigation,34.79297,-91.4792775,Arkansas,Prairie,De Valls Bluff,White River-Tr,"Arkansas, Congressional District 01",,,,,Earth,19,475,1954,238,238,0.56,,,,High,Not Rated,,Not Required,,01/07/2026,https://damsafety.org/arkansas
Hurricane Lake Dam,AR00013,Michael Rogers,Private,Recreation,Recreation,34.6175141,-92.5301151,Arkansas,Saline,Bryant,Hurricane Creek,"Arkansas, Congressional District 02",,,,,Earth,47,2500,1944,10386,10386,21.8,,06/14/2022,1,High,Fair,06/14/2022,Yes,08/20/2020,01/07/2026,https://damsafety.org/arkansas
Carter #2 Dam,TN10310,"Peaceful Waters, Llc",Private,Other,Other;Recreation,35.073333,-86.728056,Tennessee,Lincoln,,,"Tennessee, Congressional District 04",,,,,Earth,25,,,120,120,0,,01/04/2024,5,High,,01/04/2024,Not Required,,06/09/2025,https://damsafety.org/tennessee
Ward Lake Dam,AR00902,Mena Water Utlities,Local Government,Flood Risk Reduction,Flood Risk Reduction,34.605,-94.2466666666667,Arkansas,Polk,Mena,Ward Creek,"Arkansas, Congressional District 04",,,,,Earth,85,850,1946,1381,1381,1,,11/19/2020,1,High,Satisfactory,11/19/2020,Yes,01/04/1997,01/29/2025,https://damsafety.org/arkansas
Landolt Dam,MO40147,,Private,,,38.8727933,-91.5534786,Missouri,Montgomery,,Unamed Trib. Of Pinch Creek,"Missouri, Congressional District 03",,,,,Earth,56,1091,2006,653,653,0.35,,06/26/2021,3,High,Satisfactory,12/21/2007,Yes,01/12/2012,04/02/2025,https://damsafety.org/missouri
